Var1,Var2
0,108.193652873873
300,108.191682755272
600,108.199082619579
900,108.232635351797
1200,108.308981580701
1500,108.432981236647
1800,108.593628424261
2100,108.771936368866
2400,108.949355608101
2700,109.116297597638
3000,109.272794468338
3300,109.423089265126
3600,109.572609550713
3900,109.726608372966
4200,109.889638995335
4500,110.065434806992
4800,110.256970500073
5100,110.466590849693
5400,110.6961572938
5700,110.947188787805
6000,111.220940964992
6300,111.518150118699
6600,111.83852616226
6900,112.180786037432
7200,112.543541948756
7500,112.926538730953
7800,113.33124862129
8100,113.760124375262
8400,114.215031652239
8700,114.695368078991
9000,115.19718706276
9300,115.71468771114
9600,116.243434484396
9900,116.781392122034
10200,117.327678185668
10500,117.881645989724
10800,118.442514585221
11100,119.00926546459
11400,119.580665848962
11700,120.155345728808
12000,120.731887127596
12300,121.308909288855
12600,121.885142414186
12900,122.45948551961
13200,123.031047393067
13500,123.599170577534
13800,124.16343923621
14100,124.723673272336
14400,125.279910079017
14700,125.832375588025
15000,126.381449150801
15300,126.927625570416
15600,127.47147507795
15900,128.013601626686
16200,128.554601957774
16500,129.095028909563
16800,129.635361318094
17100,130.17598190562
17400,130.717163785492
17700,131.259065551903
18000,131.801734360497
18300,132.345115949846
18600,132.889070215506
18900,133.433390734749
19200,133.977826550953
19500,134.522104554711
19800,135.06595093047
20100,135.609110354155
20400,136.151361906955
20700,136.692530989186
21000,137.232496852192
21300,137.771195692612
21600,138.308619436956
21900,138.844809801459
22200,139.379848778361
22500,139.913847992041
22800,140.44693799788
23100,140.979257834559
23400,141.510945283332
23700,142.042128310782
24000,142.572918092517
24300,143.103403890814
24600,143.633649918718
24900,144.16369418362
25200,144.693549176644
25500,148.919757876745
25800,158.609822398441
26100,171.591829709386
26400,186.29902681228
26700,201.723272249298
27000,217.147441173318
27300,232.053625854626
27600,246.109573417348
27900,259.074416417511
28200,270.72070049516
28500,280.855551862971
28800,289.333664875057
29100,296.060358507095
29400,300.989550593632
29700,304.119202191443
30000,305.485599537628
30300,305.164230001275
30600,303.322235820593
30900,300.221969354564
31200,296.160904880921
31500,291.422505066292
31800,286.24822497943
32100,280.831181151925
32400,275.319834904136
32700,269.824794867162
33000,264.421978557925
33300,259.144691491838
33600,253.993535191088
33900,248.958097921071
34200,244.02725663646
34500,239.192838939684
34800,234.450345457547
35100,229.798496216052
35400,225.238412132801
35700,220.77278933807
36000,216.405199341667
36300,212.13954971643
36600,207.979690382134
36900,203.929145931063
37200,199.990947784422
37500,196.167541585255
37800,192.460748587975
38100,188.871763956515
38400,185.401181109026
38700,182.049031033788
39000,178.814830961632
39300,175.697638017993
39600,172.696104261249
39900,169.808530710551
40200,167.032918748221
40500,164.367017346737
40800,161.808258348998
41100,159.335156510138
41400,156.937544701309
41700,154.618536352723
42000,152.378683125271
42300,150.217240395337
42600,148.132796034169
42900,146.123586183282
43200,144.187657918687
43500,146.240504808402
43800,153.714028441295
44100,164.126423323857
44400,175.90085465025
44700,188.071847825572
45000,200.034314395125
45300,211.368237955489
45600,221.761886686116
45900,230.974638603029
46200,238.829857791826
46500,245.209301542404
46800,250.046933408834
47100,253.322410114037
47400,255.054471741348
47700,255.29758329143
48000,254.165605728379
48300,251.857993908276
48600,248.627884951365
48900,244.729247114127
49200,240.386679193031
49500,235.78351528132
49800,231.062175239388
50100,226.329603827881
50400,221.66219112672
50700,217.097391312719
51000,212.640590993267
51300,208.285428099264
51600,204.023844968643
51900,199.849853607254
52200,195.760430792936
52500,191.755227345434
52800,187.83588432015
53100,184.005316618115
53400,180.267103840607
53700,176.625018540024
54000,173.082683994001
54300,169.643347581572
54600,166.309743112935
54900,163.084018621502
55200,159.958526973126
55500,156.910070723937
55800,153.946438180911
56100,151.072849408808
56400,148.291764974037
56700,145.604152776227
57000,143.010087487956
57300,140.509049999707
57600,138.100090251518
57900,135.78192432814
58200,133.553000814566
58500,131.41155386938
58800,129.355647816467
59100,127.383213408698
59400,125.492075381699
59700,123.67997793947
60000,121.944610715123
60300,120.283628434832
60600,118.694666046021
60900,117.175355558575
61200,115.723253573303
61500,114.335034893883
61800,113.005555685448
62100,111.727845740767
62400,110.494274941152
62700,109.300510102204
63000,108.146369850955
63300,107.03324469078
63600,105.962496382006
63900,104.933336505653
64200,103.942082612572
64500,102.983908581641
64800,102.055173210891
65100,101.15485570578
65400,100.284288719247
65700,99.4457332321585
66000,98.6407359064663
66300,97.8690585464365
66600,97.1286064590719
66900,96.416206057407
67200,95.7287383805538
67500,95.0640566281696
67800,94.4214668373831
68100,93.8015933079865
68400,93.2056375833107
68700,96.8527593161398
69000,106.235531818261
69300,118.688839903312
69600,132.686458630289
69900,147.290731576183
70200,161.872124069596
70500,175.894597798371
70800,189.012693239213
71100,201.05745041683
71400,211.862082438613
71700,221.282649154187
72000,229.210824635076
72300,235.578136276186
72600,240.355555873442
72900,243.550534953707
73200,245.202670273144
73500,245.382379190984
73800,244.219029618139
74100,241.921352340415
74400,238.742153278147
74700,234.930538619003
75000,230.704766088157
75300,226.241986446277
75600,221.679205918027
75900,217.118742534741
76200,212.632356504539
76500,208.254297549443
76800,203.98884575926
77100,199.829333614813
77400,195.767532305013
77700,191.797171091891
78000,187.914775942239
78300,184.11939737368
78600,180.411976512767
78900,176.794676412253
79200,173.270305146323
79500,169.841870160871
79800,166.512261931475
80100,163.284045759373
80400,160.151761200914
80700,157.09153732555
81000,154.111081231871
81300,151.21648963865
81600,148.410963855287
81900,145.696121596222
82200,143.072614812749
82500,140.540437701826
82800,138.099093575282
83100,135.747698473158
83400,133.485053904115
83700,131.309703104136
84000,129.219977404886
84300,127.21403546862
84600,125.289894571003
84900,123.445459607653
85200,121.678552667191
85500,119.986937619454
85800,118.368336696782
86100,116.820448788589
86400,115.340932857763
86700,113.927008110818
87000,112.57443238596
87300,111.27705618376
87600,110.027953828225
87900,108.82294601769
88200,107.661352113642
88500,106.543765411057
88800,105.470035415617
89100,104.437559664723
89400,103.441570956353
89700,102.477305684734
90000,101.542153824033
90300,100.636245470036
90600,99.7615101146189
90900,98.9201069535269
91200,98.1129651940644
91500,97.3391029713401
91800,96.5959113057628
92100,95.8800820512847
92400,95.1886974315253
92700,94.5200859440026
93000,93.8741210708865
93300,93.2517905814578
93600,92.6542769891641
93900,92.0825417052623
94200,91.5373575819572
94500,91.019226596647
94800,90.5283146328931
95100,90.0644727070201
95400,89.6272940221727
95700,89.2161772591355
96000,88.8303837123798
96300,88.4690842762167
96600,88.1313964664242
96900,87.8164125353066
97200,87.5232195102737
97500,87.2509123140552
97800,86.9986023533026
98100,86.7654234532367
98400,86.5505357486417
98700,86.3531280420373
99000,86.1724193076077
99300,86.0076595742379
99600,85.8581298763298
99900,85.723141058575
100200,85.6020321884538
100500,85.4941692133547
100800,85.3989437807585
101100,85.3157721367153
101400,85.2440940680408
101700,85.1833718860734
102000,85.1330895244277
102300,85.0927518080906
102600,85.0618836919051
102900,85.0400293638051
103200,85.0267512733888
103500,85.0216290899669
103800,85.024258755016
104100,85.0342517218216
104400,85.0512343093458
104700,85.0748471226238
105000,85.1047445154705
105300,85.1405940834256
105600,85.1820761809677
105900,85.2288834599781
106200,85.2807204277885
106500,85.3373030237205
106800,85.3983582132381
107100,85.4636236007976
107400,85.5328470772346
107700,85.6057865042248
108000,85.6822093956896
108300,85.761892581396
108600,85.844621870454
108900,85.9301917245705
109200,86.018404944837
109500,86.109072372881
109800,86.202012605459
110100,86.2970517171293
110400,86.3940229842121
110700,86.4927666234509
111000,86.593129553262
111300,86.6949651694644
111600,86.7981331304391
111900,91.5198859913196
112200,102.69935338268
112500,117.505400429897
112800,134.215250714145
113100,151.717715513626
113400,169.231964233004
113700,186.059597817807
114000,201.860797771937
114300,216.420633818756
114600,229.539178733639
114900,241.048311575467
115200,250.822896579894
115500,258.784066590079
115800,264.898101335296
116100,269.172829600754
116400,271.652676864065
116700,272.413057230914
117000,271.563414891467
117300,269.31275566665
117600,265.952590349826
117900,261.777667608143
118200,257.051069694396
118500,251.989217229109
118800,246.761361440298
119100,241.495371067781
119400,236.283810987535
119700,231.17882735631
120000,226.196075474459
120300,221.333165153501
120600,216.582942555943
120900,211.939100467535
121200,207.397906538078
121500,202.958259368931
121800,198.621130746987
122100,194.388871840771
122400,190.264580566725
122700,186.251598794874
123000,182.353148732146
123300,178.572087837886
123600,174.91075756678
123900,171.370904214788
124200,167.95365060922
124500,164.659503530868
124800,161.487769127283
125100,158.412533254138
125400,155.428203755091
125700,152.540607991145
126000,149.751938269452
126300,147.062528223901
126600,144.471693843374
126900,141.978145141817
127200,139.580200454527
127500,137.275907178757
127800,135.063116792239
128100,132.939535244673
128400,130.902758992778
128700,128.950306720287
129000,127.07964682302
129300,125.288216299043
129600,123.573439538894
129900,124.251651070518
130200,128.091680220439
130500,133.610255321661
130800,139.961323875713
131100,146.611088085487
131400,153.19910470203
131700,159.472526374009
132000,165.246978835329
132300,170.345611552159
132600,174.669113805388
132900,178.141374965696
133200,180.71015785553
133500,182.349256600344
133800,183.060022985891
134100,182.894867060071
134400,181.977932229478
134700,180.468479628701
135000,178.519942186087
135300,176.26975506303
135600,173.83449716041
135900,171.307465395016
136200,168.75995622554
136500,166.241566626127
136800,163.774843122641
137100,161.36018258918
137400,158.971146763034
137700,156.600409862114
138000,154.24823776822
138300,151.914903397158
138600,149.601719857675
138900,147.311113565138
139200,145.046359263318
139500,142.811243291603
139800,140.609756987699
140100,138.445857477459
140400,136.323294842358
140700,134.245498343594
141000,132.215506865125
141300,130.235935021145
141600,128.308962214358
141900,126.436341316878
142200,124.619420657676
142500,122.859166640559
142800,121.156195420978
143100,119.510810105688
143400,117.923034789588
143700,116.392646070835
144000,114.919134343526
144300,113.501075289202
144600,112.135354605547
144900,110.817476875389
145200,109.544443071583
145500,108.315777849632
145800,107.132026305308
146100,105.993679425342
146400,104.899281608213
146700,103.84461201779
147000,102.824341596105
147300,101.834478758004
147600,100.873832601705
147900,99.943741321716
148200,99.0467265171067
148500,98.18481686359
148800,97.358298621594
149100,96.5654470725799
149400,95.8031703982944
149700,95.068119282934
150000,94.3577384083321
150300,93.6709148746442
150600,93.0079983104549
150900,92.3701323363944
151200,91.7582632579842
151500,91.17286726582
151800,90.6143804087609
152100,90.0832558703906
152400,89.5797435568443
152700,89.1038166958852
153000,88.6551860213166
153300,88.233346560765
153600,87.8376308732301
153900,87.4672575776203
154200,87.1213714642055
154500,86.7990752433315
154800,86.4994537827889
155100,87.5087355363713
155400,90.2905793802048
155700,94.0364965734657
156000,98.2707300251399
156300,102.687738659626
156600,107.079652750141
156900,111.300888276819
157200,115.257163016206
157500,118.875535808275
157800,122.08052387995
158100,124.801861221852
158400,126.983193051864
158700,128.585438717872
159000,129.589205163259
159300,130.013470037697
159600,129.930441499487
159900,129.439367238691
160200,128.635976552218
160500,127.603485139291
160800,126.411952348012
161100,125.119733544182
161400,123.774704394974
161700,122.414951713192
162000,121.065535960337
162300,119.737284655444
162600,118.432327434936
162900,117.149573966308
163200,115.886558967678
163500,114.641163628249
163800,113.413445385836
164100,112.205444295052
164400,111.020112498602
164700,109.859997213836
165000,108.726180529755
165300,107.618671989117
165600,106.537206279824
165900,105.481038369366
166200,104.449995010338
166500,103.445829624024
166800,102.471879135433
167100,101.531755871926
167400,100.627480820422
167700,99.7583135258941
168000,98.9211667080861
168300,98.1120284576511
168600,97.3275576764371
168900,96.5662402173051
169200,95.8286995083837
169500,95.116982878567
169800,94.4331204330827
170100,93.7777755169917
170400,93.1500024920395
170700,92.5483013215527
171000,91.9717079478972
171300,91.4200023867342
171600,90.8933437678899
171900,90.391917801823
172200,89.9157820975042
172500,89.4648220893029
172800,89.0387572925997
